numero,titulo,decisao,tipo_de_direito
329,titulo329,decisao329,Direito Tributário
330,titulo330,decisao330,Direito Tributário
331,titulo331,decisao331,Direito Tributário
332,titulo332,decisao332,Direito Digital
333,titulo333,decisao333,Direito Digital
334,titulo334,decisao334,Direito Digital
335,titulo335,decisao335,Direito Ambiental
336,titulo336,decisao336,Direito Ambiental
337,titulo337,decisao337,Direito Ambiental
338,titulo338,decisao338,Direito do Consumidor
339,titulo339,decisao339,Direito do Consumidor
340,titulo340,decisao340,Direito do Consumidor
341,titulo341,decisao341,Direito Civil
342,titulo342,decisao342,Direito Civil
343,titulo343,decisao343,Direito Civil
344,titulo344,decisao344,Direito Penal
345,titulo345,decisao345,Direito Penal
346,titulo346,decisao346,Direito Penal
347,titulo347,decisao347,Direito Tributário
348,titulo348,decisao348,Direito Tributário
349,titulo349,decisao349,Direito Tributário
350,titulo350,decisao350,Direito Digital
351,titulo351,decisao351,Direito Digital
352,titulo352,decisao352,Direito Digital
353,titulo353,decisao353,Direito Ambiental
354,titulo354,decisao354,Direito Ambiental
355,titulo355,decisao355,Direito Ambiental
356,titulo356,decisao356,Direito do Consumidor
357,titulo357,decisao357,Direito do Consumidor
358,titulo358,decisao358,Direito do Consumidor
359,titulo359,decisao359,Direito Civil
360,titulo360,decisao360,Direito Civil
361,titulo361,decisao361,Direito Civil
362,titulo362,decisao362,Direito Penal
363,titulo363,decisao363,Direito Penal
364,titulo364,decisao364,Direito Penal
365,titulo365,decisao365,Direito Tributário
366,titulo366,decisao366,Direito Tributário
367,titulo367,decisao367,Direito Tributário
368,titulo368,decisao368,Direito Digital
369,titulo369,decisao369,Direito Digital
370,titulo370,decisao370,Direito Digital
371,titulo371,decisao371,Direito Ambiental
372,titulo372,decisao372,Direito Ambiental
373,titulo373,decisao373,Direito Ambiental
374,titulo374,decisao374,Direito do Consumidor
375,titulo375,decisao375,Direito do Consumidor
376,titulo376,decisao376,Direito do Consumidor
377,titulo377,decisao377,Direito Civil
378,titulo378,decisao378,Direito Civil
379,titulo379,decisao379,Direito Civil
380,titulo380,decisao380,Direito Penal
381,titulo381,decisao381,Direito Penal
382,titulo382,decisao382,Direito Penal
383,titulo383,decisao383,Direito Tributário
384,titulo384,decisao384,Direito Tributário
385,titulo385,decisao385,Direito Tributário
386,titulo386,decisao386,Direito Digital
387,titulo387,decisao387,Direito Digital
388,titulo388,decisao388,Direito Digital
389,titulo389,decisao389,Direito Ambiental
390,titulo390,decisao390,Direito Ambiental
391,titulo391,decisao391,Direito Ambiental
392,titulo392,decisao392,Direito do Consumidor
393,titulo393,decisao393,Direito do Consumidor
394,titulo394,decisao394,Direito do Consumidor
395,titulo395,decisao395,Direito Civil
396,titulo396,decisao396,Direito Civil
397,titulo397,decisao397,Direito Civil
398,titulo398,decisao398,Direito Penal
399,titulo399,decisao399,Direito Penal
400,titulo400,decisao400,Direito Penal
401,titulo401,decisao401,Direito Tributário
402,titulo402,decisao402,Direito Tributário
403,titulo403,decisao403,Direito Tributário
404,titulo404,decisao404,Direito Digital
405,titulo405,decisao405,Direito Digital
406,titulo406,decisao406,Direito Digital
407,titulo407,decisao407,Direito Ambiental
408,titulo408,decisao408,Direito Ambiental
409,titulo409,decisao409,Direito Ambiental
410,titulo410,decisao410,Direito do Consumidor
411,titulo411,decisao411,Direito do Consumidor
412,titulo412,decisao412,Direito do Consumidor
413,titulo413,decisao413,Direito Civil
414,titulo414,decisao414,Direito Civil
415,titulo415,decisao415,Direito Civil
416,titulo416,decisao416,Direito Penal
417,titulo417,decisao417,Direito Penal
418,titulo418,decisao418,Direito Penal
419,titulo419,decisao419,Direito Tributário
420,titulo420,decisao420,Direito Tributário
421,titulo421,decisao421,Direito Tributário
422,titulo422,decisao422,Direito Digital
423,titulo423,decisao423,Direito Digital
424,titulo424,decisao424,Direito Digital
425,titulo425,decisao425,Direito Ambiental
426,titulo426,decisao426,Direito Ambiental
427,titulo427,decisao427,Direito Ambiental
428,titulo428,decisao428,Direito do Consumidor
429,titulo429,decisao429,Direito do Consumidor
430,titulo430,decisao430,Direito do Consumidor
431,titulo431,decisao431,Direito Civil
432,titulo432,decisao432,Direito Civil
433,titulo433,decisao433,Direito Civil
434,titulo434,decisao434,Direito Penal
435,titulo435,decisao435,Direito Penal
436,titulo436,decisao436,Direito Penal
437,titulo437,decisao437,Direito Tributário
438,titulo438,decisao438,Direito Tributário
439,titulo439,decisao439,Direito Tributário
440,titulo440,decisao440,Direito Digital
441,titulo441,decisao441,Direito Digital
442,titulo442,decisao442,Direito Digital
443,titulo443,decisao443,Direito Ambiental
444,titulo444,decisao444,Direito Ambiental
445,titulo445,decisao445,Direito Ambiental
446,titulo446,decisao446,Direito do Consumidor
447,titulo447,decisao447,Direito do Consumidor
448,titulo448,decisao448,Direito do Consumidor
449,titulo449,decisao449,Direito Civil
450,titulo450,decisao450,Direito Civil
451,titulo451,decisao451,Direito Civil
452,titulo452,decisao452,Direito Penal
453,titulo453,decisao453,Direito Penal
454,titulo454,decisao454,Direito Penal
455,titulo455,decisao455,Direito Tributário
456,titulo456,decisao456,Direito Tributário
457,titulo457,decisao457,Direito Tributário
458,titulo458,decisao458,Direito Digital
459,titulo459,decisao459,Direito Digital
460,titulo460,decisao460,Direito Digital
461,titulo461,decisao461,Direito Ambiental
462,titulo462,decisao462,Direito Ambiental
463,titulo463,decisao463,Direito Ambiental
464,titulo464,decisao464,Direito do Consumidor
465,titulo465,decisao465,Direito do Consumidor
466,titulo466,decisao466,Direito do Consumidor
467,titulo467,decisao467,Direito Civil
468,titulo468,decisao468,Direito Civil
469,titulo469,decisao469,Direito Civil
470,titulo470,decisao470,Direito Penal
471,titulo471,decisao471,Direito Penal
472,titulo472,decisao472,Direito Penal
473,titulo473,decisao473,Direito Tributário
474,titulo474,decisao474,Direito Tributário
475,titulo475,decisao475,Direito Tributário
476,titulo476,decisao476,Direito Digital
477,titulo477,decisao477,Direito Digital
478,titulo478,decisao478,Direito Digital
479,titulo479,decisao479,Direito Ambiental
480,titulo480,decisao480,Direito Ambiental
481,titulo481,decisao481,Direito Ambiental
482,titulo482,decisao482,Direito do Consumidor
483,titulo483,decisao483,Direito do Consumidor
484,titulo484,decisao484,Direito do Consumidor
485,titulo485,decisao485,Direito Civil
486,titulo486,decisao486,Direito Civil
487,titulo487,decisao487,Direito Civil
488,titulo488,decisao488,Direito Penal
489,titulo489,decisao489,Direito Penal
490,titulo490,decisao490,Direito Penal
491,titulo491,decisao491,Direito Tributário
492,titulo492,decisao492,Direito Tributário
493,titulo493,decisao493,Direito Tributário
494,titulo494,decisao494,Direito Digital
495,titulo495,decisao495,Direito Digital
496,titulo496,decisao496,Direito Digital
497,titulo497,decisao497,Direito Ambiental
498,titulo498,decisao498,Direito Ambiental
499,titulo499,decisao499,Direito Ambiental
500,titulo500,decisao500,Direito do Consumidor
