decision_id,decision_number,decision_content
129,decision 129,decision content 129
130,decision 130,decision content 130
131,decision 131,decision content 131
132,decision 132,decision content 132
133,decision 133,decision content 133
134,decision 134,decision content 134
135,decision 135,decision content 135
136,decision 136,decision content 136
137,decision 137,decision content 137
138,decision 138,decision content 138
139,decision 139,decision content 139
140,decision 140,decision content 140
141,decision 141,decision content 141
142,decision 142,decision content 142
143,decision 143,decision content 143
144,decision 144,decision content 144
145,decision 145,decision content 145
146,decision 146,decision content 146
147,decision 147,decision content 147
148,decision 148,decision content 148
149,decision 149,decision content 149
150,decision 150,decision content 150
151,decision 151,decision content 151
152,decision 152,decision content 152
153,decision 153,decision content 153
154,decision 154,decision content 154
155,decision 155,decision content 155
156,decision 156,decision content 156
157,decision 157,decision content 157
158,decision 158,decision content 158
159,decision 159,decision content 159
160,decision 160,decision content 160
161,decision 161,decision content 161
162,decision 162,decision content 162
163,decision 163,decision content 163
164,decision 164,decision content 164
165,decision 165,decision content 165
166,decision 166,decision content 166
167,decision 167,decision content 167
168,decision 168,decision content 168
169,decision 169,decision content 169
170,decision 170,decision content 170
171,decision 171,decision content 171
172,decision 172,decision content 172
173,decision 173,decision content 173
174,decision 174,decision content 174
175,decision 175,decision content 175
176,decision 176,decision content 176
177,decision 177,decision content 177
178,decision 178,decision content 178
179,decision 179,decision content 179
180,decision 180,decision content 180
181,decision 181,decision content 181
182,decision 182,decision content 182
183,decision 183,decision content 183
184,decision 184,decision content 184
185,decision 185,decision content 185
186,decision 186,decision content 186
187,decision 187,decision content 187
188,decision 188,decision content 188
189,decision 189,decision content 189
190,decision 190,decision content 190
191,decision 191,decision content 191
192,decision 192,decision content 192
193,decision 193,decision content 193
194,decision 194,decision content 194
195,decision 195,decision content 195
196,decision 196,decision content 196
197,decision 197,decision content 197
198,decision 198,decision content 198
199,decision 199,decision content 199
200,decision 200,decision content 200
201,decision 201,decision content 201
202,decision 202,decision content 202
203,decision 203,decision content 203
204,decision 204,decision content 204
205,decision 205,decision content 205
206,decision 206,decision content 206
207,decision 207,decision content 207
208,decision 208,decision content 208
209,decision 209,decision content 209
210,decision 210,decision content 210
211,decision 211,decision content 211
212,decision 212,decision content 212
213,decision 213,decision content 213
214,decision 214,decision content 214
215,decision 215,decision content 215
216,decision 216,decision content 216
217,decision 217,decision content 217
218,decision 218,decision content 218
219,decision 219,decision content 219
220,decision 220,decision content 220
221,decision 221,decision content 221
222,decision 222,decision content 222
223,decision 223,decision content 223
224,decision 224,decision content 224
225,decision 225,decision content 225
226,decision 226,decision content 226
227,decision 227,decision content 227
228,decision 228,decision content 228
229,decision 229,decision content 229
230,decision 230,decision content 230
231,decision 231,decision content 231
232,decision 232,decision content 232
233,decision 233,decision content 233
234,decision 234,decision content 234
235,decision 235,decision content 235
236,decision 236,decision content 236
237,decision 237,decision content 237
238,decision 238,decision content 238
239,decision 239,decision content 239
240,decision 240,decision content 240
241,decision 241,decision content 241
242,decision 242,decision content 242
243,decision 243,decision content 243
244,decision 244,decision content 244
245,decision 245,decision content 245
246,decision 246,decision content 246
247,decision 247,decision content 247
248,decision 248,decision content 248
249,decision 249,decision content 249
250,decision 250,decision content 250
251,decision 251,decision content 251
252,decision 252,decision content 252
253,decision 253,decision content 253
254,decision 254,decision content 254
255,decision 255,decision content 255
256,decision 256,decision content 256
257,decision 257,decision content 257
258,decision 258,decision content 258
259,decision 259,decision content 259
260,decision 260,decision content 260
261,decision 261,decision content 261
262,decision 262,decision content 262
263,decision 263,decision content 263
264,decision 264,decision content 264
265,decision 265,decision content 265
266,decision 266,decision content 266
267,decision 267,decision content 267
268,decision 268,decision content 268
269,decision 269,decision content 269
270,decision 270,decision content 270
271,decision 271,decision content 271
272,decision 272,decision content 272
273,decision 273,decision content 273
274,decision 274,decision content 274
275,decision 275,decision content 275
276,decision 276,decision content 276
277,decision 277,decision content 277
278,decision 278,decision content 278
279,decision 279,decision content 279
280,decision 280,decision content 280
281,decision 281,decision content 281
282,decision 282,decision content 282
283,decision 283,decision content 283
284,decision 284,decision content 284
285,decision 285,decision content 285
286,decision 286,decision content 286
287,decision 287,decision content 287
288,decision 288,decision content 288
289,decision 289,decision content 289
290,decision 290,decision content 290
291,decision 291,decision content 291
292,decision 292,decision content 292
293,decision 293,decision content 293
294,decision 294,decision content 294
295,decision 295,decision content 295
296,decision 296,decision content 296
297,decision 297,decision content 297
298,decision 298,decision content 298
299,decision 299,decision content 299
300,decision 300,decision content 300
301,decision 301,decision content 301
302,decision 302,decision content 302
303,decision 303,decision content 303
304,decision 304,decision content 304
305,decision 305,decision content 305
306,decision 306,decision content 306
307,decision 307,decision content 307
308,decision 308,decision content 308
309,decision 309,decision content 309
310,decision 310,decision content 310
311,decision 311,decision content 311
312,decision 312,decision content 312
313,decision 313,decision content 313
314,decision 314,decision content 314
315,decision 315,decision content 315
316,decision 316,decision content 316
317,decision 317,decision content 317
318,decision 318,decision content 318
319,decision 319,decision content 319
320,decision 320,decision content 320
321,decision 321,decision content 321
322,decision 322,decision content 322
323,decision 323,decision content 323
324,decision 324,decision content 324
325,decision 325,decision content 325
326,decision 326,decision content 326
327,decision 327,decision content 327
328,decision 328,decision content 328
329,decision 329,decision content 329
330,decision 330,decision content 330
331,decision 331,decision content 331
332,decision 332,decision content 332
333,decision 333,decision content 333
334,decision 334,decision content 334
335,decision 335,decision content 335
336,decision 336,decision content 336
337,decision 337,decision content 337
338,decision 338,decision content 338
339,decision 339,decision content 339
340,decision 340,decision content 340
341,decision 341,decision content 341
342,decision 342,decision content 342
343,decision 343,decision content 343
344,decision 344,decision content 344
345,decision 345,decision content 345
346,decision 346,decision content 346
347,decision 347,decision content 347
348,decision 348,decision content 348
349,decision 349,decision content 349
350,decision 350,decision content 350
351,decision 351,decision content 351
352,decision 352,decision content 352
353,decision 353,decision content 353
354,decision 354,decision content 354
355,decision 355,decision content 355
356,decision 356,decision content 356
357,decision 357,decision content 357
358,decision 358,decision content 358
359,decision 359,decision content 359
360,decision 360,decision content 360
361,decision 361,decision content 361
362,decision 362,decision content 362
363,decision 363,decision content 363
364,decision 364,decision content 364
365,decision 365,decision content 365
366,decision 366,decision content 366
367,decision 367,decision content 367
368,decision 368,decision content 368
369,decision 369,decision content 369
370,decision 370,decision content 370
371,decision 371,decision content 371
372,decision 372,decision content 372
373,decision 373,decision content 373
374,decision 374,decision content 374
375,decision 375,decision content 375
376,decision 376,decision content 376
377,decision 377,decision content 377
378,decision 378,decision content 378
379,decision 379,decision content 379
380,decision 380,decision content 380
381,decision 381,decision content 381
382,decision 382,decision content 382
383,decision 383,decision content 383
384,decision 384,decision content 384
385,decision 385,decision content 385
386,decision 386,decision content 386
387,decision 387,decision content 387
388,decision 388,decision content 388
389,decision 389,decision content 389
390,decision 390,decision content 390
391,decision 391,decision content 391
392,decision 392,decision content 392
393,decision 393,decision content 393
394,decision 394,decision content 394
395,decision 395,decision content 395
396,decision 396,decision content 396
397,decision 397,decision content 397
398,decision 398,decision content 398
399,decision 399,decision content 399
400,decision 400,decision content 400
401,decision 401,decision content 401
402,decision 402,decision content 402
403,decision 403,decision content 403
404,decision 404,decision content 404
405,decision 405,decision content 405
406,decision 406,decision content 406
407,decision 407,decision content 407
408,decision 408,decision content 408
409,decision 409,decision content 409
410,decision 410,decision content 410
411,decision 411,decision content 411
412,decision 412,decision content 412
413,decision 413,decision content 413
414,decision 414,decision content 414
415,decision 415,decision content 415
416,decision 416,decision content 416
417,decision 417,decision content 417
418,decision 418,decision content 418
419,decision 419,decision content 419
420,decision 420,decision content 420
421,decision 421,decision content 421
422,decision 422,decision content 422
423,decision 423,decision content 423
424,decision 424,decision content 424
425,decision 425,decision content 425
426,decision 426,decision content 426
427,decision 427,decision content 427
428,decision 428,decision content 428
429,decision 429,decision content 429
430,decision 430,decision content 430
431,decision 431,decision content 431
432,decision 432,decision content 432
433,decision 433,decision content 433
434,decision 434,decision content 434
435,decision 435,decision content 435
436,decision 436,decision content 436
437,decision 437,decision content 437
438,decision 438,decision content 438
439,decision 439,decision content 439
440,decision 440,decision content 440
441,decision 441,decision content 441
442,decision 442,decision content 442
443,decision 443,decision content 443
444,decision 444,decision content 444
445,decision 445,decision content 445
446,decision 446,decision content 446
447,decision 447,decision content 447
448,decision 448,decision content 448
449,decision 449,decision content 449
450,decision 450,decision content 450
451,decision 451,decision content 451
452,decision 452,decision content 452
453,decision 453,decision content 453
454,decision 454,decision content 454
455,decision 455,decision content 455
456,decision 456,decision content 456
457,decision 457,decision content 457
458,decision 458,decision content 458
459,decision 459,decision content 459
460,decision 460,decision content 460
461,decision 461,decision content 461
462,decision 462,decision content 462
463,decision 463,decision content 463
464,decision 464,decision content 464
465,decision 465,decision content 465
466,decision 466,decision content 466
467,decision 467,decision content 467
468,decision 468,decision content 468
469,decision 469,decision content 469
470,decision 470,decision content 470
471,decision 471,decision content 471
472,decision 472,decision content 472
473,decision 473,decision content 473
474,decision 474,decision content 474
475,decision 475,decision content 475
476,decision 476,decision content 476
477,decision 477,decision content 477
478,decision 478,decision content 478
479,decision 479,decision content 479
480,decision 480,decision content 480
481,decision 481,decision content 481
482,decision 482,decision content 482
483,decision 483,decision content 483
484,decision 484,decision content 484
485,decision 485,decision content 485
486,decision 486,decision content 486
487,decision 487,decision content 487
488,decision 488,decision content 488
489,decision 489,decision content 489
490,decision 490,decision content 490
491,decision 491,decision content 491
492,decision 492,decision content 492
493,decision 493,decision content 493
494,decision 494,decision content 494
495,decision 495,decision content 495
496,decision 496,decision content 496
497,decision 497,decision content 497
498,decision 498,decision content 498
499,decision 499,decision content 499
500,decision 500,decision content 500
